YY,MM,DD,HH,HHOT(m),10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour),Mean Sea Level Pressure(hPa),Air Temperature(degree Celsius),Relative Humidity(percent)
2023,1,1,1,1.41,North,10.0,12.0,1024.4,16.2,66.0
2023,1,1,2,1.44,North,9.0,12.0,1024.2,15.9,64.0
2023,1,1,3,1.48,Northeast,9.0,12.0,1023.5,15.4,67.0
2023,1,1,4,1.53,Northeast,6.0,10.0,1023.0,15.2,67.0
2023,1,1,5,1.57,Northeast,8.0,12.0,1023.0,15.0,69.0
2023,1,1,6,1.54,Northeast,8.0,11.0,1023.5,14.8,69.0
2023,1,1,7,1.44,Northeast,8.0,9.0,1023.8,14.6,69.0
2023,1,1,8,1.32,North,8.0,11.0,1024.0,14.5,69.0
2023,1,1,9,1.19,Calm,0.0,,1024.5,15.1,68.0
2023,1,1,10,1.13,Northwest,6.0,9.0,1025.2,15.9,64.0
2023,1,1,11,1.15,Calm,0.0,,1025.2,17.0,62.0
2023,1,1,12,1.25,East,14.0,26.0,1024.7,18.2,60.0
2023,1,1,13,1.41,East,12.0,26.0,1023.8,18.4,60.0
2023,1,1,14,1.54,Northeast,6.0,14.0,1022.3,17.9,61.0
2023,1,1,15,1.68,Southwest,12.0,15.0,1021.8,18.0,59.0
2023,1,1,16,1.81,East,5.0,14.0,1021.1,18.7,64.0
2023,1,1,17,1.94,East,10.0,16.0,1021.4,19.0,59.0
2023,1,1,18,2.02,East,14.0,18.0,1021.7,18.3,63.0
2023,1,1,19,1.98,North,3.0,5.0,1022.1,17.6,63.0
2023,1,1,20,1.84,North,9.0,11.0,1022.7,17.7,62.0
2023,1,1,21,1.62,North,4.0,5.0,1023.2,17.6,67.0
2023,1,1,22,1.39,East,6.0,12.0,1023.6,17.7,65.0
2023,1,1,23,1.23,East,8.0,15.0,1024.0,17.2,73.0
2023,1,1,24,1.14,East,8.0,12.0,1024.2,17.3,74.0
2023,1,2,1,1.15,East,17.0,25.0,1023.6,17.7,70.0
2023,1,2,2,1.18,East,16.0,22.0,1023.2,17.8,67.0
2023,1,2,3,1.22,East,14.0,19.0,1022.7,17.6,72.0
2023,1,2,4,1.27,East,10.0,17.0,1022.5,17.4,72.0
2023,1,2,5,1.34,North,3.0,5.0,1022.3,17.4,68.0
2023,1,2,6,1.42,Northeast,6.0,9.0,1022.2,17.5,68.0
2023,1,2,7,1.44,Calm,0.0,,1023.0,17.3,70.0
2023,1,2,8,1.4,North,9.0,12.0,1023.3,17.4,67.0
2023,1,2,9,1.32,North,4.0,7.0,1024.0,17.7,65.0
2023,1,2,10,1.25,North,5.0,9.0,1024.5,18.1,66.0
2023,1,2,11,1.22,East,8.0,11.0,1024.0,19.1,63.0
2023,1,2,12,1.27,Northeast,12.0,20.0,1023.8,20.3,60.0
2023,1,2,13,1.4,East,9.0,15.0,1023.1,20.7,61.0
2023,1,2,14,1.58,East,12.0,18.0,1022.1,21.6,61.0
2023,1,2,15,1.73,East,12.0,18.0,1021.5,20.9,59.0
2023,1,2,16,1.87,West,11.0,15.0,1021.2,19.7,62.0
2023,1,2,17,1.98,Southwest,10.0,14.0,1021.1,20.1,63.0
